relation_id,source_game_id,source_title,source_steam_appid,target_game_id,target_title,target_steam_appid,why_similar_en,why_similar_zh,key_differences_en,key_differences_zh,best_for_en,best_for_zh,confidence,assessment_type,source_ids,source_urls,sources_captured_at,validated_at
fields-of-mistria--coral-island,fields-of-mistria,Fields of Mistria,2142790,coral-island,Coral Island,1158160,"Both are farming and life-simulation RPGs built around developing a farm, forming relationships and helping a town recover.",两者都是围绕经营农场、发展人际关系和帮助城镇复兴展开的农场生活模拟 RPG。,Fields of Mistria is a single-player pixel-art fantasy with magic; Coral Island uses 3D tropical settings and supports online co-op.,《Fields of Mistria》是带魔法元素的单人像素风作品；《Coral Island》采用 3D 热带海岛场景，并支持在线合作。,"Choose Coral Island for cooperative island life; choose Fields of Mistria for a solo, pixel-art fantasy routine.",想和朋友经营海岛可选《Coral Island》；偏好单人像素幻想生活可选《Fields of Mistria》。,high,fact_checked_editorial,steam-store-coral-island-b002 | steam-store-fields-of-mistria-b002,https://store.steampowered.com/app/1158160/ | https://store.steampowered.com/app/2142790/,2026-08-13T11:12:45Z | 2026-08-13T11:12:49Z,2026-09-02
stardew-valley--coral-island,stardew-valley,Stardew Valley,413150,coral-island,Coral Island,1158160,"Both combine farming, town relationships, resource gathering and optional co-op in a long-running life-simulation loop.",两者都把农场经营、城镇关系、资源收集和可选合作模式组合成长线生活模拟循环。,Stardew Valley uses pixel art and a valley setting; Coral Island uses 3D tropical environments and adds ocean diving and reef restoration.,《Stardew Valley》采用像素画面和山谷小镇；《Coral Island》采用 3D 热带环境，并加入潜水和珊瑚礁修复。,Choose Coral Island for a tropical 3D setting and ocean activities; choose Stardew Valley for its pixel-art presentation.,想要热带 3D 场景和海洋活动可选《Coral Island》；偏好像素画面可选《Stardew Valley》。,high,fact_checked_editorial,steam-store-coral-island-b002 | steam-store-stardew-valley-b002,https://store.steampowered.com/app/1158160/ | https://store.steampowered.com/app/413150/,2026-08-13T11:12:45Z | 2026-08-13T11:12:42Z,2026-09-02
baldurs-gate-3--divinity-original-sin-2,baldurs-gate-3,Baldur's Gate 3,1086940,divinity-original-sin-2,Divinity: Original Sin 2 - Definitive Edition,435150,"Both are Larian party-based RPGs with turn-based combat, consequential choices and cooperative play.",两者都是拉瑞安制作的队伍制 RPG，包含回合制战斗、会影响剧情的选择和合作游玩。,Baldur's Gate 3 is based on Dungeons & Dragons rules and its setting; Divinity: Original Sin 2 uses Larian's own rules and places more emphasis on elemental surface interactions.,《Baldur's Gate 3》采用《龙与地下城》规则与世界观；《Divinity: Original Sin 2》使用拉瑞安自有规则，并更强调元素地表互动。,Choose Divinity: Original Sin 2 to explore Larian's original combat system; choose Baldur's Gate 3 for a D&D-based adventure.,想体验拉瑞安自有战斗系统可选《Divinity: Original Sin 2》；想玩基于 D&D 的冒险可选《Baldur's Gate 3》。,high,fact_checked_editorial,steam-store-baldurs-gate-3-b010 | steam-store-divinity-original-sin-2-b010,https://store.steampowered.com/app/1086940/ | https://store.steampowered.com/app/435150/,2026-08-14T03:13:07Z | 2026-08-14T03:13:19Z,2026-09-02
it-takes-two--split-fiction,it-takes-two,It Takes Two,1426210,split-fiction,Split Fiction,2001120,Both are Hazelight co-op adventures designed for two players and built around frequently changing cooperative mechanics.,两者都是 Hazelight 为双人合作设计的冒险游戏，并会不断切换合作机制。,It Takes Two follows a couple through a family story; Split Fiction moves between science-fiction and fantasy worlds created by two writers.,《It Takes Two》围绕一对夫妻和家庭故事展开；《Split Fiction》让两位作家在科幻与奇幻世界之间穿梭。,Choose Split Fiction for science-fiction and fantasy genre shifts; choose It Takes Two for its family-centered story.,喜欢科幻与奇幻题材切换可选《Split Fiction》；更在意家庭主题故事可选《It Takes Two》。,high,fact_checked_editorial,steam-store-it-takes-two-b028 | steam-store-split-fiction-b028,https://store.steampowered.com/app/1426210/ | https://store.steampowered.com/app/2001120/,2026-08-14T16:53:07Z | 2026-08-14T16:53:16Z,2026-09-02
overwatch-2--marvel-rivals,overwatch-2,Overwatch®,2357570,marvel-rivals,Marvel Rivals,2767030,"Both are free-to-play, team-based hero shooters with distinct character abilities and objective-focused matches.",两者都是免费游玩的团队英雄射击游戏，角色拥有不同能力，对局围绕团队目标展开。,"Marvel Rivals uses Marvel characters, team-up abilities and destructible battlefields; Overwatch uses Blizzard's original hero roster and supports 5v5 and 6v6 modes.",《Marvel Rivals》采用漫威角色、组合技能和可破坏战场；《Overwatch》使用暴雪原创英雄，并提供 5v5 与 6v6 模式。,Choose Marvel Rivals for Marvel characters and team-up mechanics; choose Overwatch for its established original hero roster.,喜欢漫威角色和组合技能可选《Marvel Rivals》；偏好成熟的原创英雄阵容可选《Overwatch》。,high,fact_checked_editorial,steam-store-marvel-rivals-b022 | steam-store-overwatch-2-b021,https://store.steampowered.com/app/2767030/ | https://store.steampowered.com/app/2357570/,2026-08-14T11:27:44Z | 2026-08-14T11:27:02Z,2026-09-02
outlast--outlast-2,outlast,Outlast,238320,outlast-2,Outlast 2,414700,Both are single-player first-person survival-horror games in which the player investigates a hostile place without conventional combat tools.,两者都是单人第一人称生存恐怖游戏，玩家需要在缺少常规战斗手段的情况下调查危险地点。,Outlast is set mainly in Mount Massive Asylum; Outlast 2 moves to the isolated settlement of Temple Gate and follows a different cast.,《Outlast》主要发生在巨山精神病院；《Outlast 2》转向与世隔绝的 Temple Gate，并采用不同角色。,Choose Outlast 2 for an outdoor cult setting; start with Outlast for the asylum story that introduced the series.,想体验户外邪教聚落可选《Outlast 2》；想从系列起点的精神病院故事开始则选《Outlast》。,high,fact_checked_editorial,steam-store-outlast-2-b070 | steam-store-outlast-b014,https://store.steampowered.com/app/414700/ | https://store.steampowered.com/app/238320/,2026-08-15T23:05:36Z | 2026-08-14T03:23:05Z,2026-09-02
stardew-valley--sun-haven,stardew-valley,Stardew Valley,413150,sun-haven,Sun Haven,1432860,"Both combine farming, relationships, crafting and cooperative play in a town-based life-simulation RPG.",两者都在城镇生活模拟 RPG 中结合农场经营、人际关系、制作和合作游玩。,"Sun Haven adds a skill tree, magic, monsters, dragons and multiplayer for up to eight people; Stardew Valley keeps a more grounded rural setting.",《Sun Haven》加入技能树、魔法、怪物、龙和最多八人联机；《Stardew Valley》的乡村设定更朴素。,Choose Sun Haven for stronger fantasy and character progression; choose Stardew Valley for a more grounded farm-town routine.,想要更强的奇幻元素和角色成长可选《Sun Haven》；偏好朴素农场小镇生活可选《Stardew Valley》。,high,fact_checked_editorial,steam-store-stardew-valley-b002 | steam-store-sun-haven-b002,https://store.steampowered.com/app/413150/ | https://store.steampowered.com/app/1432860/,2026-08-13T11:12:42Z | 2026-08-13T11:13:48Z,2026-09-02
baldurs-gate-3--pathfinder-wrath-of-the-righteous,baldurs-gate-3,Baldur's Gate 3,1086940,pathfinder-wrath-of-the-righteous,Pathfinder: Wrath of the Righteous - Enhanced Edition,1184370,"Both are story-rich, party-based fantasy RPGs in which character builds and player choices shape a long campaign.",两者都是重剧情的队伍制奇幻 RPG，角色构筑和玩家选择会影响长篇战役。,Pathfinder: Wrath of the Righteous is single-player and centers on Pathfinder rules and Mythic progression; Baldur's Gate 3 uses D&D rules and supports co-op.,《Pathfinder: Wrath of the Righteous》是单人游戏，核心是 Pathfinder 规则和神话成长；《Baldur's Gate 3》采用 D&D 规则并支持合作。,Choose Pathfinder for denser character-building and Mythic progression; choose Baldur's Gate 3 for cooperative D&D role-playing.,想要更密集的角色构筑和神话成长可选《Pathfinder》；想合作体验 D&D 角色扮演可选《Baldur's Gate 3》。,high,fact_checked_editorial,steam-store-baldurs-gate-3-b010 | steam-store-pathfinder-wrath-of-the-righteous-b010,https://store.steampowered.com/app/1086940/ | https://store.steampowered.com/app/1184370/,2026-08-14T03:13:07Z | 2026-08-14T03:13:28Z,2026-09-02
coral-island--roots-of-pacha,coral-island,Coral Island,1158160,roots-of-pacha,Roots of Pacha,1245560,"Both are relaxed farming RPGs with co-op, relationships and a community that develops alongside the player's farm.",两者都是轻松的农场 RPG，支持合作、关系培养，并让社区随着玩家的农场一同发展。,Roots of Pacha uses pixel art and a Stone Age setting where discoveries help the clan; Coral Island uses a modern 3D tropical island and reef restoration.,《Roots of Pacha》采用像素画面和石器时代设定，发现会推动氏族发展；《Coral Island》采用现代 3D 热带海岛和珊瑚礁修复主题。,Choose Roots of Pacha for prehistoric community development; choose Coral Island for tropical island life and ocean activities.,喜欢史前社区发展可选《Roots of Pacha》；喜欢热带海岛生活和海洋活动可选《Coral Island》。,high,fact_checked_editorial,steam-store-coral-island-b002 | steam-store-roots-of-pacha-b002,https://store.steampowered.com/app/1158160/ | https://store.steampowered.com/app/1245560/,2026-08-13T11:12:45Z | 2026-08-13T11:13:43Z,2026-09-02
crypt-of-the-necrodancer--rift-of-the-necrodancer,crypt-of-the-necrodancer,Crypt of the NecroDancer,247080,rift-of-the-necrodancer,Rift of the NecroDancer,2073250,Both place Cadence and the NecroDancer setting inside rhythm combat where enemy patterns must be read on the beat.,两者都以 Cadence 和 NecroDancer 世界为背景，战斗要求玩家按节拍识别敌人模式。,Crypt of the NecroDancer is a rhythm roguelike played on dungeon grids; Rift of the NecroDancer uses lane-based rhythm battles and is not structured as a dungeon roguelike.,《Crypt of the NecroDancer》是网格地牢式节奏 Roguelike；《Rift of the NecroDancer》采用轨道式节奏战斗，不再以地牢 Roguelike 为结构。,Choose Rift for lane-based rhythm challenges; choose Crypt for dungeon exploration and roguelike runs.,喜欢轨道式节奏挑战可选《Rift》；喜欢地牢探索和 Roguelike 流程可选《Crypt》。,high,fact_checked_editorial,steam-store-crypt-of-the-necrodancer-b008 | steam-store-rift-of-the-necrodancer-b039,https://store.steampowered.com/app/247080/ | https://store.steampowered.com/app/2073250/,2026-08-14T01:48:19Z | 2026-08-15T04:19:26Z,2026-09-02
